0;OPCAO;TEXTO;NOVO_ESTADO;LUTA;PAUSA
1;0;*A vila monotona tem um ar de tranquilidade, nem parece que estao sendo aterrorizados por um dragao*;0;0;0
1;0;*Um velho carrancudo esta parado ao lado de um poco, murmurando algo sobre 'os jovens hoje em dia'*;0;0;0
1;0;*Ele acena com a cabeca para que se aproxime*;0;0;0
1;0;(nome), que bom que chegou. Tenho informacoes importantes sobre os itens que precisamos para destruir aquela cobra voadora.;0;0;1
1;0;Infelizmente, como bem sabe, os cristais de vida que o quartel recebeu para sua jornada foram roubados.;0;0;0
1;0;Suspeitamos das criaturas do esgoto, por causa de rastros que levam ao corrego perto da cidade.;0;0;0
1;0;O que um monte de ratos fedorentos iriam querer com aqueles cristais ainda e um misterio. Isso não deve ser problema para voce.;0;0;1
1;0;*O velho coca a barba*;0;0;0
1;0;Recebemos tambem uma carta misteriosa, algo sobre um presente que pode ajudar.;0;0;0
1;0;Francamente, parece bom demais pra ser verdade, mas precisamos de toda a ajuda que conseguir.;0;0;0
1;0;E se for uma armadilha voce vai... Ficar bem. Eu acho.;0;0;0
1;0;A carta diz algo sobre ir pras montanhas. Porque nao anda sem rumo por la e ve o que encontra?;0;0;1
1;0;Ou se voce quiser mesmo morrer, pode ir lutar com o dragao de maos abanando.;0;0;1
1;1;Ir para o corrego;3;0;0
1;2;Ir para a montanha;9;0;0
1;3;Ir para o dragao;20;0;0
1;4;Se esfaquear com uma colher enferrujada.;87;0;0
2;0;*A vila continua intacta. Voce se lembra do seu lar anterior e se sente nostalgico*;0;0;1
2;0;*O velho carrancudo tosse uma tosse tuberculosa e te tira dessa nostalgia*;0;0;0
2;0;E agora (nome), o que vai ser?;0;0;0
2;1;Ir para o corrego;3;0;0
2;2;Ir para a montanha;9;0;0
2;3;Ir para o dragao;20;0;0
3;0;*Voce desce o corrego e entra no tunel de esgoto, algumas velas dao pouca luz ao local*;0;0;0
3;0;*Em um canto escuro, perto de uma cama montada as pressas, um homem bigodudo acena para voce enquanto se aproxima*;0;0;0
3;0;Ei amigo, voce e um daqueles soldados aventureiros que esta atras do dragao nao e mesmo?;0;0;1
3;0;*Ele esfrega as maos e sorri um sorriso amarelo*;0;0;0
3;0;Da pra perceber pela cara inocente e corpo musculoso, voces todos parecem que sairam de uma daquelas historias de fantasia... ;0;0;1
3;1;Sim, cidadao! Sou um soldado em busca de gloria, e espolios!;4;0;0
3;2;O que voce quer bigodudo?;4;0;0
3;3;Nao, voce deve ter me confundido com alguem. *Sair andando*;5;0;0
4;0;Ah, estavamos destinados a nos encontrar, aventureiro!;0;0;0
4;0;Esse esgoto esta cheio de ratos e outras criaturas detestaveis;0;0;0
4;0;Elas vem atrapalhando meu trabalho a semanas!;0;0;0
4;0;Meu trabalho de limpar... os esgotos... Isso! Limpar os esgotos!;0;0;0
4;0;Me ajude com essas criaturas, e seu tempo sera bem compensado!;0;0;1
4;1;Nao diga mais nada, pobre alma! Aniquilarei essas criaturas o mais rapido possivel!;8;0;0
4;2;Limpar... os esgotos? Voce acha que eu sou idiota?;5;0;0
5;0;Voce e mais esperto do que eu imaginava (nome), mas nao conseguira escapar.;0;0;0
5;1;O que?;6;0;0
6;0;Lorde (dragao) dominara este pais podre!;0;0;0
6;0;Levante as maos, imbecil. Hora de morrer!;0;0;1
6;1;Lutar;1;1;0
8;0;*Voce se esgueira para dentro do cano de pedra gigante, confiante*;0;0;0
8;0;*De repente, glifos aparecem ao redor do tunel, uma parede semitransparente se forma atras do homem bigodudo*;0;0;0
8;0;*O homem alisa seus bigodes, orgulhoso. Seus musculos comecam a crescer, uma calda aparece e um focinho brilhante toma conta de seu rosto*;0;0;1
8;0;Voce realmente caiu nessa? LIMPAR OS ESGOTOS? Que tipo de emprego seria esse?;0;0;0
8;0;Meu trabalho e muito melhor. Sou o general que mata herois como voce. Ninguem ira escutar seus gritos, verme.;0;0;1
8;1;Cara, eu devia ter visto essa chegando.;9;0;0
8;2;Verme e tua mae, aquela mocreia!;9;0;0
9;0;*O homem, se e que ainda pode ser chamado assim, pula em sua direcao com a agilidade de um rato fedido*;0;0;0
9;0;Hora de morrer! WREEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE;0;0;0
9;1;Lutar.;2;1;0
80;0;A luta com o homem bigodudo acabou.;0;0;0
80;1;Voltar ao vilarejo.;2;0;0
87;0;*O velho arregala os olhos aterrorizado*;0;0;0
87;0;Meu deus! Voce e maluco! Alguem chame um medico!;0;0;0
87;1;Morrer.;0;0;0
98;0;Voce volta ao corrego, o corpo do que era um homem bigodudo continua la. Seu bigode esta baguncado.;0;0;0
98;1;Voltar ao vilarejo.;2;0;0
99;0;===========================================================================================;0;0;0
99;1;Voce morreu.;0;0;0
