0;OPCAO;TEXTO;NOVO_ESTADO;LUTA;PAUSA
1;0;*A vila monotona tem um ar de tranquilidade, nem parece que estao sendo aterrorizados por um dragao*;0;0;0
1;0;*Um velho carrancudo esta parado ao lado de um poco, murmurando algo sobre 'os jovens hoje em dia'*;0;0;0
1;0;*Ele olha pra voce, surpreso*;0;0;0
1;0;Eu podia jurar que voce tinha morrido!;0;0;0
1;0;Tenho informacoes importantes sobre os itens que precisamos para destruir aquela cobra voadora.;0;0;1
1;0;Infelizmente, como bem sabe, a contra-espada que o quartel resgatou para sua jornada foi roubada.;0;0;0
1;0;Suspeitamos das criaturas do esgoto, por causa de rastros que levam ao corrego perto da cidade.;0;0;0
1;0;O que um monte de ratos fedorentos iriam querer com aquele bastao inutil ainda e um misterio.;0;0;0
1;0;Isso nao deve ser problema para voce.;0;0;1
1;0;*O velho coca a barba*;0;0;0
1;0;Recebemos tambem uma carta misteriosa, algo sobre um presente que pode ajudar.;0;0;0
1;0;Francamente, parece bom demais pra ser verdade, mas precisamos de toda a ajuda que conseguir.;0;0;0
1;0;E se for uma armadilha voce vai... Ficar bem. Eu acho.;0;0;0
1;0;A carta diz algo sobre ir pras montanhas. Porque nao anda sem rumo por la e ve o que encontra?;0;0;1
1;0;Ou se voce quiser mesmo morrer, pode ir lutar com o dragao de maos abanando.;0;0;1
1;1;Ir para o corrego;3;0;0
1;2;Ir para a montanha;10;0;0
1;3;Ir para o dragao;20;0;0
2;0;*A vila continua intacta. Voce se lembra do seu lar anterior e se sente nostalgico*;0;0;1
2;0;*O velho carrancudo tosse uma tosse tuberculosa e te tira dessa nostalgia*;0;0;0
2;0;E agora, o que vai ser?;0;0;1
2;1;Ir para o corrego;3;0;0
2;2;Ir para a montanha;10;0;0
2;3;Ir para o dragao;20;0;0
3;0;*Voce desce o corrego e entra no tunel de esgoto, algumas velas dao pouca luz ao local*;0;0;0
3;0;*Em um canto escuro, perto de uma saco de dormir, um homem bigodudo acena para voce enquanto se aproxima*;0;0;0
3;0;Ei amigo, voce e um daqueles soldados aventureiros que esta atras do dragao nao e mesmo?;0;0;1
3;0;*Ele esfrega as maos e sorri um sorriso amarelo*;0;0;0
3;0;Da pra perceber pela cara inocente e corpo musculoso,;0;0;0
3;0;Voces todos parecem que sairam de uma daquelas historias de fantasia... ;0;0;1
3;1;Sim, cidadao! Sou um soldado em busca de gloria, e espolios!;4;0;0
3;2;O que voce quer bigodudo?;4;0;0
3;3;Nao, voce deve ter me confundido com alguem. *Sair andando*;5;0;0
4;0;Ah, estavamos destinados a nos encontrar, aventureiro!;0;0;0
4;0;Esse esgoto esta cheio de ratos e outras criaturas detestaveis;0;0;0
4;0;Elas vem atrapalhando meu trabalho a semanas!;0;0;0
4;0;Meu trabalho de limpar... os esgotos... Isso! Limpar os esgotos!;0;0;0
4;0;Me ajude com essas criaturas, e seu tempo sera bem compensado!;0;0;1
4;1;Nao diga mais nada, pobre alma! Aniquilarei essas criaturas o mais rapido possivel!;8;0;0
